"","study","survey","varNam"
"771","S1","post","t_Discr._Click_Count"
"772","S1","post","discr_study_x1"
"773","S1","post","discr_study_x2"
"774","S1","post","discr_study_x3"
"775","S1","post","discr_study_x4"
"776","S1","post","discr_study_x5"
"777","S1","post","discr_study_x6"
"778","S1","post","discr_study_x7"
"779","S1","post","discr_study_x8"
"780","S1","post","discr_study_x9"
"781","S1","post","discrimination_month"
"782","S1","post","t_discr.2_First_Click"
"783","S1","post","t_discr.2_Last_Click"
"784","S1","post","t_discr.2_Page_Submit"
"785","S1","post","t_discr.2_Click_Count"
"786","S1","post","NLESS_1"
"787","S1","post","NLESS_2"
"788","S1","post","NLESS_3"
"789","S1","post","NLESS_4"
"790","S1","post","NLESS_5"
"791","S1","post","NLESS_6"
"792","S1","post","NLESS_7"
"793","S1","post","NLESS_8"
"794","S1","post","NLESS_9"
"795","S1","post","NLESS_10"
"796","S1","post","NLESS_11"
"797","S1","post","NLESS_12"
"798","S1","post","NLESS_13"
"799","S1","post","NLESS_14"
"800","S1","post","NLESS_15"
"801","S1","post","NLESS_16"
"802","S1","post","NLESS_17"
"803","S1","post","NLESS_18"
"804","S1","post","NLESS_19"
"805","S1","post","NLESS_20"
"806","S1","post","NLESS_21"
"807","S1","post","NLESS_22"
"808","S1","post","NLESS_23"
"809","S1","post","NLESS_24"
"810","S1","post","NLE_1month"
"811","S1","post","NLE_6month"
"812","S1","post","NLE_12month"
"813","S1","post","t_NLESS_First_Click"
"814","S1","post","t_NLESS_Last_Click"
"815","S1","post","t_NLESS_Page_Submit"
"816","S1","post","t_NLESS_Click_Count"
"817","S1","post","honest"
"818","S1","post","NonParticipation"
"819","S1","post","t_participation_First_Click"
"820","S1","post","t_participation_Last_Click"
"821","S1","post","t_participation_Page_Submit"
"822","S1","post","t_participation_Click_Count"
"823","S1","post","ParticipationMot"
"824","S1","post","OQ_Questionnaire"
"825","S1","post","OQ_Communication"
"826","S1","post","OQ_Study"
"827","S1","post","OQ_other"
"828","S1","post","t_OQ_First_Click"
"829","S1","post","t_OQ_Last_Click"
"830","S1","post","t_OQ_Page_Submit"
"831","S1","post","t_OQ_Click_Count"
"832","S1","post","RecipientFirstName.0"
"833","S1","post","RecipientLastName.0"
"834","S1","post","RecipientEmail.0"
"835","S1","post","ExternalDataReference"
"836","S1","post","date"
"837","S1","post","time"
"838","S1","post","City"
"839","S1","post","ZIP"
"840","S1","post","Referer"
"841","S1","post","DateTaken"
"842","S1","post","TriggerResponseID"
"843","S1","post","TriggerSurveyID"
"844","S1","post","start.0"
"845","S1","post","end"
"846","S2","pre","session"
"847","S2","pre","created"
"848","S2","pre","modified"
"849","S2","pre","ended"
"850","S2","pre","expired"
"851","S2","pre","Home09"
"852","S2","pre","IntGrAnx01"
"853","S2","pre","IntGrAnx02"
"854","S2","pre","IntGrAnx03"
"855","S2","pre","IntGrAnx04"
"856","S2","pre","IntGrAnx05"
"857","S2","pre","IntGrAnx06"
"858","S2","pre","IntGrAnx07R"
"859","S2","pre","IntGrAnx08R"
"860","S2","pre","IntGrAnx09R"
"861","S2","pre","IntGrAnx10R"
"862","S2","pre","IntGrAnx11R"
"863","S2","pre","IntGrAnx12R"
"864","S2","pre","SWL01"
"865","S2","pre","SWL02"
"866","S2","pre","SWL03"
"867","S2","pre","SWL04"
"868","S2","pre","SWL05"
"869","S2","pre","SonaIn"
"870","S2","pre","MDMQ01"
"871","S2","pre","MDMQ02"
"872","S2","pre","MDMQ03"
"873","S2","pre","MDMQ04"
"874","S2","pre","MDMQ05"
"875","S2","pre","MDMQ06"
"876","S2","pre","MDMQ07"
"877","S2","pre","MDMQ08"
"878","S2","pre","MDMQ09"
"879","S2","pre","MDMQ10"
"880","S2","pre","MDMQ11"
"881","S2","pre","MDMQ12"
"882","S2","pre","MDMQ13"
"883","S2","pre","Home10"
"884","S2","pre","Home11"
"885","S2","pre","Home01"
"886","S2","pre","Home02"
"887","S2","pre","Home03"
"888","S2","pre","Home04"
"889","S2","pre","Home05"
"890","S2","pre","Home06"
"891","S2","pre","Home07"
"892","S2","pre","Home08"
"893","S2","pre","last_outside_referrer"
"894","S2","pre","ip_address"
"895","S2","pre","SDT01"
"896","S2","pre","SDT02"
"897","S2","pre","SDT03"
"898","S2","pre","SDT04"
"899","S2","pre","SDT05"
"900","S2","pre","SDT06"
"901","S2","pre","browser"
"902","S2","pre","SDT13"
"903","S2","pre","SDT14"
"904","S2","pre","SDT15"
"905","S2","pre","SDT16"
"906","S2","pre","SDT17"
"907","S2","pre","SDT18"
"908","S2","pre","server_language"
"909","S2","pre","SDT19"
"910","S2","pre","SDT20"
"911","S2","pre","SDT21"
"912","S2","pre","SDT22"
"913","S2","pre","SDT23"
"914","S2","pre","SDT24"
"915","S2","pre","SDT07"
"916","S2","pre","SDT08"
"917","S2","pre","SDT09"
"918","S2","pre","date"
"919","S2","pre","SDT10"
"920","S2","pre","SDT11"
"921","S2","pre","SDT12"
"922","S2","pre","name"
"923","S2","pre","Sona"
"924","S2","pre","e_mail"
"925","S2","pre","e_mailconfirm"
"926","S2","pre","age"
"927","S2","pre","Gender"
"928","S2","pre","Gender_Other"
"929","S2","pre","Living"
"930","S2","pre","roomate"
"931","S2","pre","nationality"
"932","S2","pre","SecNatDum"
"933","S2","pre","nationality2"
"934","S2","pre","timeNL"
"935","S2","pre","Reason"
"936","S2","pre","ReasonOther"
"937","S2","pre","DutchUnderstand"
"938","S2","pre","DutchSpeak"
"939","S2","pre","DutchRead"
"940","S2","pre","DutchWrite"
"941","S2","pre","occupation"
"942","S2","pre","IntentStay"
"943","S2","pre","association"
"944","S2","pre","associationOther"
"945","S2","pre","DutchMeetNum"
"946","S2","pre","DutchTime"
"947","S2","pre","DutchFriends"
"948","S2","pre","CulturalSimilarity"
"949","S2","pre","OSO"
"950","S2","pre","DSO"
"951","S2","daily","session"
"952","S2","daily","created"
"953","S2","daily","modified"
"954","S2","daily","ended"
"955","S2","daily","expired"
"956","S2","daily","last_outside_referrer"
"957","S2","daily","ip_address"
"958","S2","daily","browser"
"959","S2","daily","server_language"
"960","S2","daily","date"
"961","S2","daily","date_period"
"962","S2","daily","period"
"963","S2","daily","periodMA"
"964","S2","daily","greeting"
"965","S2","daily","IntergroupContact"
"966","S2","daily","IngroupContact"
"967","S2","daily","Interaction"
"968","S2","daily","InteractionDum"
"969","S2","daily","InteractionDumDutch"
"970","S2","daily","InteractionDumNonDutch"
"971","S2","daily","branchMA"
"972","S2","daily","branchMAHeader"
"973","S2","daily","DesireIntergroup"
"974","S2","daily","DesireIngroup"
"975","S2","daily","ContactDesire"
"976","S2","daily","DesireTypeDutch"
"977","S2","daily","DesireTypeDutchother"
"978","S2","daily","DesireContextDutch"
"979","S2","daily","DesireContextDutchother"
"980","S2","daily","NoDesireDutch"
"981","S2","daily","DesireTypeNonDutch"
"982","S2","daily","DesireTypeNonDutchother"
"983","S2","daily","DesireContextNonDutch"
"984","S2","daily","DesireContextNonDutchother"
"985","S2","daily","NoDesireNonDutch"
"986","S2","daily","ContactNum"
"987","S2","daily","timeMorning"
"988","S2","daily","timeAfternoon"
"989","S2","daily","duration"
"990","S2","daily","dyadGroup"
"991","S2","daily","groupSize"
"992","S2","daily","groupDutch"
"993","S2","daily","CLDutchIn"
"994","S2","daily","CLNonDutchIn"
"995","S2","daily","CC"
"996","S2","daily","NewCC"
"997","S2","daily","NewName"
"998","S2","daily","NewGender"
"999","S2","daily","Gender_Other"
"1000","S2","daily","NewCloseness"
"1001","S2","daily","NewEthnicityDum"
"1002","S2","daily","NewEthnicity"
"1003","S2","daily","NewRelationship"
"1004","S2","daily","NewRelationshipOther"
"1005","S2","daily","ContactName"
"1006","S2","daily","CLDutchOut"
"1007","S2","daily","CLNonDutchOut"
"1008","S2","daily","KeyNeed"
"1009","S2","daily","KeyNeedFullfillment"
"1010","S2","daily","KeyNeedDueToPartner"
"1011","S2","daily","KeyNeedSharedWithPartner"
"1012","S2","daily","RandBeh1"
"1013","S2","daily","RandBeh2"
"1014","S2","daily","AntiSo1"
"1015","S2","daily","AntiSo2"
"1016","S2","daily","AntiSo3"
"1017","S2","daily","AntiSo4"
"1018","S2","daily","AntiSo5"
"1019","S2","daily","AntiSo6"
"1020","S2","daily","AntiSo7"
"1021","S2","daily","RandBeh3"
"1022","S2","daily","RandBeh4"
"1023","S2","daily","ProSo1"
"1024","S2","daily","ProSo2"
"1025","S2","daily","ProSo3"
"1026","S2","daily","ProSo4"
"1027","S2","daily","InteractionContextAccidental"
"1028","S2","daily","InteractionContextvoluntary"
"1029","S2","daily","InteractionContextCooperative"
"1030","S2","daily","InteractionContextEqualStatus"
"1031","S2","daily","InteractionContextRepresentativeNL"
"1032","S2","daily","StudentGoal01"
"1033","S2","daily","StudentGoal02"
"1034","S2","daily","StudentGoal03"
"1035","S2","daily","StudentGoal04"
"1036","S2","daily","StudentGoal05"
"1037","S2","daily","StudentGoal06"
"1038","S2","daily","StudentGoal07"
"1039","S2","daily","StudentGoal08"
"1040","S2","daily","StudentGoal09"
"1041","S2","daily","StudentGoal10"
"1042","S2","daily","quality_overall"
"1043","S2","daily","quality_meaning"
"1044","S2","daily","quality_effective"
"1045","S2","daily","quality_importance"
"1046","S2","daily","Autonomy"
"1047","S2","daily","Competence"
"1048","S2","daily","RelatednessNoInteraction"
"1049","S2","daily","RelatednessSelf"
"1050","S2","daily","RelatednessOther"
"1051","S2","daily","AttitudesDutch"
"1052","S2","daily","AttitdutuesPartnerstick"
"1053","S2","daily","UnusuallyHigh"
"1054","S2","daily","UnusuallyLow"
"1055","S2","daily","ExWB"
"1056","S2","daily","DaytimeNeed"
"1057","S2","daily","DaytimeNeedFullfillment"
"1058","S2","daily","NonDutchContact"
"1059","S2","daily","NonDutchNum"
"1060","S2","daily","Event"
"1061","S2","daily","EventTxt"
"1062","S2","post","session"
"1063","S2","post","created"
"1064","S2","post","modified"
"1065","S2","post","ended"
"1066","S2","post","expired"
"1067","S2","post","last_outside_referrer"
"1068","S2","post","EvDayDiscr01"
"1069","S2","post","EvDayDiscr02"
"1070","S2","post","EvDayDiscr03"
"1071","S2","post","EvDayDiscr04"
"1072","S2","post","EvDayDiscr05"
"1073","S2","post","EvDayDiscr06"
"1074","S2","post","EvDayDiscr07"
"1075","S2","post","EvDayDiscr08"
"1076","S2","post","EvDayDiscr09"
"1077","S2","post","SE01"
"1078","S2","post","SE02"
"1079","S2","post","SE03"
"1080","S2","post","SE04"
"1081","S2","post","SE05"
"1082","S2","post","SE06"
"1083","S2","post","SE07"
"1084","S2","post","SE08"
"1085","S2","post","SE09"
"1086","S2","post","HS01"
"1087","S2","post","HS02"
"1088","S2","post","HS03"
"1089","S2","post","HS04"
"1090","S2","post","HS05"
"1091","S2","post","HS06"
"1092","S2","post","HS07"
"1093","S2","post","HS08"
"1094","S2","post","HS09"
"1095","S2","post","PSS01"
"1096","S2","post","PSS02"
"1097","S2","post","HS10"
"1098","S2","post","PSS03"
"1099","S2","post","HS11"
"1100","S2","post","PSS04"
"1101","S2","post","HS12"
"1102","S2","post","PSS05"
"1103","S2","post","HS13"
"1104","S2","post","HS14"
"1105","S2","post","PSS06"
"1106","S2","post","PSS07"
"1107","S2","post","HS15"
"1108","S2","post","PSS08"
"1109","S2","post","HS16"
"1110","S2","post","IntGrAnx01"
"1111","S2","post","PSS09"
"1112","S2","post","HS17"
"1113","S2","post","IntGrAnx02"
"1114","S2","post","PSS10"
"1115","S2","post","HS18"
"1116","S2","post","IntGrAnx03"
"1117","S2","post","HS19"
"1118","S2","post","IntGrAnx04"
"1119","S2","post","HS20"
"1120","S2","post","IntGrAnx05"
"1121","S2","post","IntGrAnx06"
"1122","S2","post","ISEL01"
"1123","S2","post","ISEL02"
"1124","S2","post","ISEL03"
"1125","S2","post","ISEL04"
"1126","S2","post","ISEL05"
"1127","S2","post","ISEL06"
"1128","S2","post","ISEL07"
"1129","S2","post","ISEL08"
"1130","S2","post","ISEL09"
"1131","S2","post","ISEL10"
"1132","S2","post","IntGrAnx07R"
"1133","S2","post","IntGrAnx08R"
"1134","S2","post","IntGrAnx09R"
"1135","S2","post","IntGrAnx10R"
"1136","S2","post","IntGrAnx11R"
"1137","S2","post","IntGrAnx12R"
"1138","S2","post","SE10"
"1139","S2","post","ip_address"
"1140","S2","post","browser"
"1141","S2","post","server_language"
"1142","S2","post","DutchUnderstand"
"1143","S2","post","DutchSpeak"
"1144","S2","post","DutchRead"
"1145","S2","post","DutchWrite"
"1146","S2","post","association"
"1147","S2","post","associationOther"
"1148","S2","post","DutchMeetNum"
"1149","S2","post","DutchTime"
"1150","S2","post","DutchFriends"
"1151","S2","post","IntentStay"
"1152","S2","post","CulturalSimilarity"
"1153","S2","post","OSO"
"1154","S2","post","DSO"
"1155","S2","post","CForEvDayDiscr01"
"1156","S2","post","CForEvDayDiscr02"
"1157","S2","post","CForEvDayDiscr03"
"1158","S2","post","CForEvDayDiscr04"
"1159","S2","post","CForEvDayDiscr05"
"1160","S2","post","CForEvDayDiscr06"
"1161","S2","post","CForEvDayDiscr07"
"1162","S2","post","CForEvDayDiscr08"
"1163","S2","post","CForEvDayDiscr09"
"1164","S2","post","NLE01"
"1165","S2","post","NLE02"
"1166","S2","post","NLE03"
"1167","S2","post","NLE04"
"1168","S2","post","NLE05"
"1169","S2","post","NLE06"
"1170","S2","post","NLE07"
"1171","S2","post","NLE08"
"1172","S2","post","NLE09"
"1173","S2","post","NLE10"
"1174","S2","post","NLE11"
"1175","S2","post","NLE12"
"1176","S2","post","NLE13"
"1177","S2","post","NLE14"
"1178","S2","post","NLE15"
"1179","S2","post","NLE16"
"1180","S2","post","NLE17"
"1181","S2","post","NLE18"
"1182","S2","post","NLE19"
"1183","S2","post","NLE20"
"1184","S2","post","NLE21"
"1185","S2","post","NLE22"
"1186","S2","post","NLE23"
"1187","S2","post","NLE24"
"1188","S2","post","StudyFeedHonest"
"1189","S2","post","StudyFeedNonPart"
"1190","S2","post","StudyFeedMot"
"1191","S2","post","StudyFeedQuest"
"1192","S2","post","StudyFeedComm"
"1193","S2","post","StudyFeedStudy"
"1194","S2","post","StudyFeedGeneral"
"1195","S2","post","OnSiteMeeting"
"1196","S3","pre_elig","session"
"1197","S3","pre_elig","created"
"1198","S3","pre_elig","modified"
"1199","S3","pre_elig","ended"
"1200","S3","pre_elig","expired"
"1201","S3","pre_elig","last_outside_referrer"
"1202","S3","pre_elig","ip_address"
"1203","S3","pre_elig","browser"
"1204","S3","pre_elig","server_language"
"1205","S3","pre_elig","date"
"1206","S3","pre_elig","name"
"1207","S3","pre_elig","e_mail"
"1208","S3","pre_elig","e_mailconfirm"
"1209","S3","pre_elig","nationality"
"1210","S3","pre_elig","SecNatDum"
"1211","S3","pre_elig","secondNationality"
"1212","S3","pre_elig","student"
"1213","S3","pre_elig","studentProg"
"1214","S3","pre_elig","studentBachMa"
"1215","S3","pre_elig","bach"
"1216","S3","pre_elig","mast"
"1217","S3","pre_elig","mastInternJunCo"
"1218","S3","pre_elig","mastInternSenCo"
"1219","S3","pre_elig","elig"
"1220","S3","pre_elig","eligGroup"
"1221","S3","pre_elig","eligTxt"
"1222","S3","pre_entry","session"
"1223","S3","pre_entry","created"
"1224","S3","pre_entry","modified"
"1225","S3","pre_entry","ended"
"1226","S3","pre_entry","expired"
"1227","S3","pre_entry","SWL01"
"1228","S3","pre_entry","SWL02"
"1229","S3","pre_entry","SWL03"
"1230","S3","pre_entry","SWL04"
"1231","S3","pre_entry","SWL05"
"1232","S3","pre_entry","Identify01"
"1233","S3","pre_entry","Identify02"
"1234","S3","pre_entry","Identify03"
"1235","S3","pre_entry","Identify04"
"1236","S3","pre_entry","Identify05"
"1237","S3","pre_entry","Identify06"
"1238","S3","pre_entry","Identify07"
"1239","S3","pre_entry","Identify08"
"1240","S3","pre_entry","Inclusion01"
"1241","S3","pre_entry","Inclusion02"
"1242","S3","pre_entry","Inclusion03"
"1243","S3","pre_entry","Inclusion04"
"1244","S3","pre_entry","Inclusion05"
"1245","S3","pre_entry","Inclusion06"
"1246","S3","pre_entry","Inclusion07"
"1247","S3","pre_entry","Inclusion08"
"1248","S3","pre_entry","Inclusion09"
"1249","S3","pre_entry","Inclusion10"
"1250","S3","pre_entry","Inclusion11"
"1251","S3","pre_entry","Inclusion12"
"1252","S3","pre_entry","Inclusion13"
"1253","S3","pre_entry","MLQ01"
"1254","S3","pre_entry","Inclusion14"
"1255","S3","pre_entry","MLQ02"
"1256","S3","pre_entry","Inclusion15"
"1257","S3","pre_entry","MLQ03"
"1258","S3","pre_entry","Inclusion16"
"1259","S3","pre_entry","MLQ04"
"1260","S3","pre_entry","MLQ05"
"1261","S3","pre_entry","MLQ06"
"1262","S3","pre_entry","MLQ07"
"1263","S3","pre_entry","MLQ08"
"1264","S3","pre_entry","MLQ09"
"1265","S3","pre_entry","Commitment01"
"1266","S3","pre_entry","MLQ10"
"1267","S3","pre_entry","Commitment02"
"1268","S3","pre_entry","outgroupTrust01"
"1269","S3","pre_entry","outgroupTrust02"
"1270","S3","pre_entry","outgroupTrust03"
"1271","S3","pre_entry","last_outside_referrer"
"1272","S3","pre_entry","IntGrAnx01"
"1273","S3","pre_entry","IntGrAnx07R"
"1274","S3","pre_entry","PT01"
"1275","S3","pre_entry","PT02"
"1276","S3","pre_entry","PT03"
"1277","S3","pre_entry","PT04"
"1278","S3","pre_entry","PT05"
"1279","S3","pre_entry","PT06"
"1280","S3","pre_entry","PT07"
"1281","S3","pre_entry","IntGrAnx02"
"1282","S3","pre_entry","IntGrAnx08R"
"1283","S3","pre_entry","IntGrAnx03"
"1284","S3","pre_entry","IntGrAnx09R"
"1285","S3","pre_entry","IntGrAnx04"
"1286","S3","pre_entry","IntGrAnx10R"
"1287","S3","pre_entry","IntGrAnx05"
"1288","S3","pre_entry","IntGrAnx11R"
"1289","S3","pre_entry","IntGrAnx06"
"1290","S3","pre_entry","IntGrAnx12R"
"1291","S3","pre_entry","Home01"
"1292","S3","pre_entry","Home06"
"1293","S3","pre_entry","Home02"
"1294","S3","pre_entry","Home07"
"1295","S3","pre_entry","Home03"
"1296","S3","pre_entry","Home08"
"1297","S3","pre_entry","Home04"
"1298","S3","pre_entry","Home09"
"1299","S3","pre_entry","Home05"
"1300","S3","pre_entry","Home10"
"1301","S3","pre_entry","Home11"
"1302","S3","pre_entry","ip_address"
"1303","S3","pre_entry","browser"
"1304","S3","pre_entry","server_language"
"1305","S3","pre_entry","date"
"1306","S3","pre_entry","age"
"1307","S3","pre_entry","Gender"
"1308","S3","pre_entry","Gender_Other"
"1309","S3","pre_entry","Living"
"1310","S3","pre_entry","roomate"
"1311","S3","pre_entry","timeNL"
"1312","S3","pre_entry","Reason"
"1313","S3","pre_entry","ReasonOther"
"1314","S3","pre_entry","DutchUnderstand"
"1315","S3","pre_entry","DutchSpeak"
"1316","S3","pre_entry","DutchRead"
"1317","S3","pre_entry","DutchWrite"
"1318","S3","pre_entry","occupation"
"1319","S3","pre_entry","association"
"1320","S3","pre_entry","associationOther"
"1321","S3","pre_entry","parentDutch"
"1322","S3","pre_entry","langGen"
"1323","S3","pre_entry","languageOther"
"1324","S3","pre_entry","IntentStay"
"1325","S3","pre_entry","DutchMeetNum"
"1326","S3","pre_entry","DutchPotMeetNum"
"1327","S3","pre_entry","DutchTime"
"1328","S3","pre_entry","DutchFriends"
"1329","S3","pre_entry","CulturalSimilarity"
"1330","S3","pre_entry","SHO"
"1331","S3","pre_entry","OSO"
"1332","S3","pre_entry","DSO"
"1333","S3","pre_entry","MSSO"
"1334","S3","pre_entry","workGroupOp"
"1335","S3","daily","session"
"1336","S3","daily","created"
"1337","S3","daily","modified"
"1338","S3","daily","ended"
"1339","S3","daily","expired"
"1340","S3","daily","autoFrust1"
"1341","S3","daily","autoFrust2"
"1342","S3","daily","autoFrust3"
"1343","S3","daily","autoFrust4"
"1344","S3","daily","relatSat1"
"1345","S3","daily","relatSat2"
"1346","S3","daily","relatSat3"
"1347","S3","daily","relatSat4"
"1348","S3","daily","relatFrust1"
"1349","S3","daily","relatFrust2"
"1350","S3","daily","relatFrust3"
"1351","S3","daily","relatFrust4"
"1352","S3","daily","last_outside_referrer"
"1353","S3","daily","compSat1"
"1354","S3","daily","compSat2"
"1355","S3","daily","compSat3"
"1356","S3","daily","compSat4"
"1357","S3","daily","compFrust1"
"1358","S3","daily","compFrust2"
"1359","S3","daily","compFrust3"
"1360","S3","daily","compFrust4"
"1361","S3","daily","AntiSo1"
"1362","S3","daily","AntiSo2"
"1363","S3","daily","AntiSo3"
"1364","S3","daily","AntiSo4"
"1365","S3","daily","AntiSo5"
"1366","S3","daily","AntiSo6"
"1367","S3","daily","AntiSo7"
"1368","S3","daily","lonely1"
"1369","S3","daily","lonely2"
"1370","S3","daily","lonely3"
"1371","S3","daily","lonely4"
"1372","S3","daily","ProSo1"
"1373","S3","daily","ProSo2"
"1374","S3","daily","ProSo3"
"1375","S3","daily","ProSo4"
"1376","S3","daily","agency1"
"1377","S3","daily","agency2"
"1378","S3","daily","agency3"
"1379","S3","daily","autoSat1"
"1380","S3","daily","autoSat2"
"1381","S3","daily","autoSat3"
"1382","S3","daily","autoSat4"
"1383","S3","daily","ip_address"
"1384","S3","daily","browser"
"1385","S3","daily","server_language"
"1386","S3","daily","date"
"1387","S3","daily","date_period"
"1388","S3","daily","period"
"1389","S3","daily","periodMA"
"1390","S3","daily","greeting"
"1391","S3","daily","IntergroupContact"
"1392","S3","daily","IngroupContact"
"1393","S3","daily","Interaction"
"1394","S3","daily","InteractionDum"
"1395","S3","daily","InteractionDumDutch"
"1396","S3","daily","InteractionDumNonDutch"
"1397","S3","daily","branchMA"
"1398","S3","daily","branchMAHeader"
"1399","S3","daily","DesireIntergroup"
"1400","S3","daily","DesireIngroup"
"1401","S3","daily","DesireTypeDutch"
"1402","S3","daily","DesireTypeDutchother"
"1403","S3","daily","DesireContextDutch"
"1404","S3","daily","DesireContextDutchother"
"1405","S3","daily","NoDesireDutch"
"1406","S3","daily","DesireTypeNonDutch"
"1407","S3","daily","DesireTypeNonDutchother"
"1408","S3","daily","DesireContextNonDutch"
"1409","S3","daily","DesireContextNonDutchother"
"1410","S3","daily","NoDesireNonDutch"
"1411","S3","daily","ContactNum"
"1412","S3","daily","timeMorning"
"1413","S3","daily","timeAfternoon"
"1414","S3","daily","duration"
"1415","S3","daily","language"
"1416","S3","daily","languageOther"
"1417","S3","daily","dyadGroup"
"1418","S3","daily","groupSize"
"1419","S3","daily","groupDutch"
"1420","S3","daily","CLDutchIn"
"1421","S3","daily","CLNonDutchIn"
"1422","S3","daily","CC"
"1423","S3","daily","NewCC"
"1424","S3","daily","NewName"
"1425","S3","daily","NewGender"
"1426","S3","daily","Gender_Other"
"1427","S3","daily","NewCloseness"
"1428","S3","daily","NewTrust"
"1429","S3","daily","NewEthnicityDum"
"1430","S3","daily","NewEthnicity"
"1431","S3","daily","NewRelationship"
"1432","S3","daily","NewRelationshipOther"
"1433","S3","daily","ContactName"
"1434","S3","daily","CLDutchOut"
"1435","S3","daily","CLNonDutchOut"
"1436","S3","daily","KeyNeed"
"1437","S3","daily","KeyNeedFulfillment"
"1438","S3","daily","KeyNeedDueToPartner"
"1439","S3","daily","KeyNeedShared"
"1440","S3","daily","KeyNeedImp"
"1441","S3","daily","emotRegPos01"
"1442","S3","daily","emotRegPos02"
"1443","S3","daily","emotRegNeg01"
"1444","S3","daily","emotRegNeg02"
"1445","S3","daily","RandAntiBeh"
"1446","S3","daily","RandProBeh"
"1447","S3","daily","InteractionContextAccidental"
"1448","S3","daily","InteractionContextvoluntary"
"1449","S3","daily","InteractionContextCooperative"
"1450","S3","daily","InteractionContextEqualStatus"
"1451","S3","daily","InteractionContextRepresentativeNL"
"1452","S3","daily","StudentGoal01"
"1453","S3","daily","StudentGoal02"
"1454","S3","daily","StudentGoal03"
"1455","S3","daily","StudentGoal04"
"1456","S3","daily","StudentGoal05"
"1457","S3","daily","StudentGoal06"
"1458","S3","daily","StudentGoal07"
"1459","S3","daily","StudentGoal08"
"1460","S3","daily","StudentGoal09"
"1461","S3","daily","StudentGoal10"
"1462","S3","daily","qualityOverall"
"1463","S3","daily","qualityMeaning"
"1464","S3","daily","qualityEffective"
"1465","S3","daily","qualityImportance"
"1466","S3","daily","Autonomy"
"1467","S3","daily","Competence"
"1468","S3","daily","RelatednessNoInteraction"
"1469","S3","daily","RelatednessSelf"
"1470","S3","daily","RelatednessOther"
"1471","S3","daily","AttitudesDutch"
"1472","S3","daily","AttitudesPartner"
"1473","S3","daily","UnusuallyHigh"
"1474","S3","daily","UnusuallyLow"
"1475","S3","daily","exWB"
"1476","S3","daily","angry"
"1477","S3","daily","afraid"
"1478","S3","daily","energy"
"1479","S3","daily","randLonely"
"1480","S3","daily","lonelyAlways"
"1481","S3","daily","DaytimeNeed"
"1482","S3","daily","DaytimeNeedFullfillment"
"1483","S3","daily","DaytimeNeedFulfillment"
"1484","S3","daily","NonDutchNum"
"1485","S3","daily","Event"
"1486","S3","daily","EventTxt"
"1487","S3","daily","randAgency"
"1488","S3","daily","randautoSat"
"1489","S3","daily","randautoFrust"
"1490","S3","daily","randrelatSat"
"1491","S3","daily","randrelatFrust"
"1492","S3","daily","randcompSat"
"1493","S3","daily","randcompFrust"
"1494","S3","post","session"
"1495","S3","post","created"
"1496","S3","post","modified"
"1497","S3","post","ended"
"1498","S3","post","expired"
"1499","S3","post","IntGrAnx01"
"1500","S3","post","IntGrAnx07R"
"1501","S3","post","IntGrAnx02"
"1502","S3","post","IntGrAnx08R"
"1503","S3","post","IntGrAnx03"
"1504","S3","post","IntGrAnx09R"
"1505","S3","post","IntGrAnx04"
"1506","S3","post","IntGrAnx10R"
"1507","S3","post","IntGrAnx05"
"1508","S3","post","IntGrAnx11R"
"1509","S3","post","IntGrAnx06"
"1510","S3","post","IntGrAnx12R"
"1511","S3","post","EvDayDiscr01"
"1512","S3","post","EvDayDiscr02"
"1513","S3","post","EvDayDiscr03"
"1514","S3","post","EvDayDiscr04"
"1515","S3","post","EvDayDiscr05"
"1516","S3","post","EvDayDiscr06"
"1517","S3","post","EvDayDiscr07"
"1518","S3","post","para01"
"1519","S3","post","EvDayDiscr08"
"1520","S3","post","para02"
"1521","S3","post","EvDayDiscr09"
"1522","S3","post","para03"
"1523","S3","post","para04"
"1524","S3","post","para05"
"1525","S3","post","para06"
"1526","S3","post","para07"
"1527","S3","post","para08"
"1528","S3","post","para09"
"1529","S3","post","para10"
"1530","S3","post","SE01"
"1531","S3","post","SE02"
"1532","S3","post","SE03"
"1533","S3","post","SE04"
"1534","S3","post","SE05"
"1535","S3","post","SE06"
"1536","S3","post","SE07"
"1537","S3","post","SE08"
"1538","S3","post","SE09"
"1539","S3","post","SE10"
"1540","S3","post","HS01"
"1541","S3","post","HS02"
"1542","S3","post","HS03"
"1543","S3","post","HS04"
"1544","S3","post","HS05"
"1545","S3","post","HS06"
"1546","S3","post","HS07"
"1547","S3","post","HS08"
"1548","S3","post","HS09"
"1549","S3","post","HS10"
"1550","S3","post","HS11"
"1551","S3","post","HS12"
"1552","S3","post","HS13"
"1553","S3","post","HS14"
"1554","S3","post","HS15"
"1555","S3","post","HS16"
"1556","S3","post","HS17"
"1557","S3","post","HS18"
"1558","S3","post","HS19"
"1559","S3","post","HS20"
"1560","S3","post","outgroupTrust01"
"1561","S3","post","outgroupTrust02"
"1562","S3","post","outgroupTrust03"
"1563","S3","post","Identify01"
"1564","S3","post","Identify02"
"1565","S3","post","Identify03"
"1566","S3","post","Identify04"
"1567","S3","post","Identify05"
"1568","S3","post","Identify06"
"1569","S3","post","Identify07"
"1570","S3","post","Identify08"
"1571","S3","post","Inclusion01"
